x1,x2,x3,x4,t
-9.672344,-10.432025,27.517381,-77.736062,1.500000
-9.741433,-10.361610,27.789471,-78.528217,1.510000
-9.796024,-10.266060,28.052740,-79.304124,1.520000
-9.835150,-10.146370,28.303415,-80.055825,1.530000
-9.858053,-10.004024,28.537871,-80.775402,1.540000
-9.864212,-9.840965,28.752719,-81.455172,1.550000
-9.853359,-9.659558,28.944901,-82.087896,1.560000
-9.825498,-9.462526,29.111761,-82.666975,1.570000
-9.780902,-9.252878,29.251107,-83.186633,1.580000
-9.720119,-9.033825,29.361260,-83.642067,1.590000
-9.643954,-8.808686,29.441080,-84.029566,1.600000
-9.553453,-8.580805,29.489972,-84.346587,1.610000
-9.449878,-8.353455,29.507874,-84.591789,1.620000
-9.334678,-8.129763,29.495229,-84.765024,1.630000
-9.209449,-7.912639,29.452943,-84.867287,1.640000
-9.075901,-7.704725,29.382326,-84.900630,1.650000
-8.935817,-7.508350,29.285035,-84.868054,1.660000
-8.791017,-7.325509,29.163008,-84.773374,1.670000
-8.643319,-7.157852,29.018395,-84.621079,1.680000
-8.494511,-7.006686,28.853500,-84.416182,1.690000
-8.346317,-6.872992,28.670719,-84.164080,1.700000
-8.200376,-6.757443,28.472495,-83.870413,1.710000
-8.058223,-6.660441,28.261268,-83.540949,1.720000
-7.921270,-6.582143,28.039448,-83.181468,1.730000
-7.790803,-6.522502,27.809380,-82.797681,1.740000
-7.667970,-6.481297,27.573332,-82.395151,1.750000
-7.553783,-6.458171,27.333479,-81.979242,1.760000
-7.449118,-6.452659,27.091894,-81.555075,1.770000
-7.354718,-6.464217,26.850551,-81.127506,1.780000
-7.271203,-6.492244,26.611323,-80.701108,1.790000
-7.199074,-6.536101,26.375986,-80.280174,1.800000
-7.138722,-6.595126,26.146230,-79.868713,1.810000
-7.090436,-6.668643,25.923659,-79.470467,1.820000
-7.054415,-6.755968,25.709806,-79.088923,1.830000
-7.030771,-6.856413,25.506136,-78.727330,1.840000
-7.019543,-6.969282,25.314056,-78.388720,1.850000
-7.020697,-7.093871,25.134920,-78.075928,1.860000
-7.034135,-7.229457,24.970033,-77.791605,1.870000
-7.059699,-7.375291,24.820657,-77.538243,1.880000
-7.097172,-7.530586,24.688010,-77.318181,1.890000
-7.146281,-7.694506,24.573264,-77.133623,1.900000
-7.206698,-7.866152,24.477545,-76.986640,1.910000
-7.278033,-8.044549,24.401922,-76.879178,1.920000
-7.359841,-8.228628,24.347403,-76.813049,1.930000
-7.451609,-8.417217,24.314918,-76.789931,1.940000
-7.552757,-8.609029,24.305306,-76.811346,1.950000
-7.662633,-8.802644,24.319295,-76.878646,1.960000
-7.780502,-8.996512,24.357479,-76.992980,1.970000
-7.905547,-9.188939,24.420292,-77.155262,1.980000
-8.036862,-9.378090,24.507983,-77.366124,1.990000
-8.173442,-9.561996,24.620578,-77.625870,2.000000
-8.314189,-9.738563,24.757854,-77.934416,2.010000
-8.457900,-9.905592,24.919304,-78.291227,2.020000
-8.603278,-10.060806,25.104104,-78.695249,2.030000
-8.748925,-10.201883,25.311087,-79.144846,2.040000
-8.893360,-10.326501,25.538714,-79.637726,2.050000
-9.035021,-10.432393,25.785061,-80.170885,2.060000
-9.172285,-10.517400,26.047809,-80.740555,2.070000
-9.303484,-10.579542,26.324248,-81.342168,2.080000
-9.426934,-10.617086,26.611292,-81.970347,2.090000
-9.540960,-10.628612,26.905514,-82.618914,2.100000
-9.643930,-10.613088,27.203189,-83.280940,2.110000
-9.734290,-10.569921,27.500364,-83.948823,2.120000
-9.810600,-10.499016,27.792930,-84.614403,2.130000
-9.871573,-10.400806,28.076716,-85.269116,2.140000
-9.916116,-10.276273,28.347590,-85.904180,2.150000
-9.943355,-10.126945,28.601562,-86.510799,2.160000
-9.952672,-9.954870,28.834893,-87.080398,2.170000
-9.943729,-9.762575,29.044188,-87.604851,2.180000
-9.916476,-9.552996,29.226492,-88.076711,2.190000
-9.871167,-9.329400,29.379358,-88.489417,2.200000
-9.808356,-9.095287,29.500904,-88.837471,2.210000
